value,type,id
0.585845073,No load,101
1.167868556,No load,102
0.680266185,No load,103
1.088411295,No load,104
0.581340211,No load,105
0.43089179,No load,106
-0.167306782,No load,107
0.358218941,No load,108
0.529663051,No load,109
0.720448228,No load,110
1.28809371,No load,111
0.402363103,No load,112
1.174453617,No load,113
0.766257268,No load,114
1.248015386,No load,115
0.682651164,No load,116
0.492919376,No load,117
0.699590007,No load,118
0.577897392,No load,119
0.047344842,No load,120
0.661552973,No load,121
0.572228214,No load,122
0.565462112,No load,123
1.184103008,No load,124
0.645616534,No load,125
0.785321114,No load,126
0.275797798,No load,127
0.235131577,No load,128
0.796421815,No load,129
0.719144002,Load,101
0.961022996,Load,102
0.491017516,Load,103
0.696645222,Load,104
0.658944468,Load,105
0.874169671,Load,106
-0.034027981,Load,107
0.186458418,Load,108
0.441202265,Load,109
0.866091605,Load,110
1.216980678,Load,111
0.245514405,Load,112
1.207583168,Load,113
0.811478074,Load,114
1.123497874,Load,115
0.828854806,Load,116
0.708487507,Load,117
0.627264992,Load,118
0.453639825,Load,119
0.333240358,Load,120
0.778413317,Load,121
0.444277509,Load,122
0.578173718,Load,123
1.218373253,Load,124
0.717627842,Load,125
0.729725536,Load,126
0.141995158,Load,127
0.00422821,Load,128
0.72181871,Load,129
