wt;hp;qsec
0.00;0.00;0.2365
0.00;0.05;0.2388
0.00;0.10;0.2442
0.00;0.15;0.2421
0.00;0.20;0.2117
0.00;0.25;0.2375
0.00;0.30;0.2520
0.00;0.35;0.2351
0.00;0.40;0.2448
0.00;0.45;0.2299
0.00;0.50;0.2287
0.00;0.55;0.2239
0.00;0.60;0.2378
0.00;0.65;0.2604
0.00;0.70;0.2534
0.00;0.75;0.2600
0.00;0.80;0.2633
0.00;0.85;0.2359
0.00;0.90;0.2577
0.00;0.95;0.2546
0.00;1.00;0.2375
0.05;0.00;0.3073
0.05;0.05;0.3143
0.05;0.10;0.2965
0.05;0.15;0.3036
0.05;0.20;0.2857
0.05;0.25;0.2773
0.05;0.30;0.3072
0.05;0.35;0.3028
0.05;0.40;0.2886
0.05;0.45;0.2981
0.05;0.50;0.3043
0.05;0.55;0.2867
0.05;0.60;0.2918
0.05;0.65;0.3026
0.05;0.70;0.2977
0.05;0.75;0.2874
0.05;0.80;0.2923
0.05;0.85;0.2957
0.05;0.90;0.2872
0.05;0.95;0.3017
0.05;1.00;0.2712
0.10;0.00;0.3642
0.10;0.05;0.3511
0.10;0.10;0.3616
0.10;0.15;0.3502
0.10;0.20;0.3563
0.10;0.25;0.3522
0.10;0.30;0.3517
0.10;0.35;0.3567
0.10;0.40;0.3518
0.10;0.45;0.3462
0.10;0.50;0.3420
0.10;0.55;0.3337
0.10;0.60;0.3307
0.10;0.65;0.3313
0.10;0.70;0.3362
0.10;0.75;0.3194
0.10;0.80;0.3363
0.10;0.85;0.3315
0.10;0.90;0.3383
0.10;0.95;0.3159
0.10;1.00;0.3259
0.15;0.00;0.4065
0.15;0.05;0.3933
0.15;0.10;0.4008
0.15;0.15;0.4106
0.15;0.20;0.3850
0.15;0.25;0.3793
0.15;0.30;0.4053
0.15;0.35;0.3840
0.15;0.40;0.3941
0.15;0.45;0.3935
0.15;0.50;0.3932
0.15;0.55;0.3874
0.15;0.60;0.3697
0.15;0.65;0.3746
0.15;0.70;0.3764
0.15;0.75;0.3673
0.15;0.80;0.3797
0.15;0.85;0.3570
0.15;0.90;0.3639
0.15;0.95;0.3690
0.15;1.00;0.3629
0.20;0.00;0.4337
0.20;0.05;0.4284
0.20;0.10;0.4375
0.20;0.15;0.4501
0.20;0.20;0.4332
0.20;0.25;0.4355
0.20;0.30;0.4477
0.20;0.35;0.4212
0.20;0.40;0.4281
0.20;0.45;0.4037
0.20;0.50;0.4022
0.20;0.55;0.4200
0.20;0.60;0.4079
0.20;0.65;0.3982
0.20;0.70;0.4092
0.20;0.75;0.3940
0.20;0.80;0.4196
0.20;0.85;0.3874
0.20;0.90;0.4113
0.20;0.95;0.3975
0.20;1.00;0.3782
0.25;0.00;0.4499
0.25;0.05;0.4663
0.25;0.10;0.4721
0.25;0.15;0.4769
0.25;0.20;0.4605
0.25;0.25;0.4723
0.25;0.30;0.4613
0.25;0.35;0.4611
0.25;0.40;0.4658
0.25;0.45;0.4483
0.25;0.50;0.4437
0.25;0.55;0.4503
0.25;0.60;0.4455
0.25;0.65;0.4406
0.25;0.70;0.4451
0.25;0.75;0.4472
0.25;0.80;0.4532
0.25;0.85;0.4370
0.25;0.90;0.4150
0.25;0.95;0.4355
0.25;1.00;0.4289
0.30;0.00;0.4659
0.30;0.05;0.4784
0.30;0.10;0.5119
0.30;0.15;0.5184
0.30;0.20;0.5042
0.30;0.25;0.5056
0.30;0.30;0.4920
0.30;0.35;0.4977
0.30;0.40;0.4939
0.30;0.45;0.4822
0.30;0.50;0.4839
0.30;0.55;0.4736
0.30;0.60;0.4873
0.30;0.65;0.4750
0.30;0.70;0.4706
0.30;0.75;0.4687
0.30;0.80;0.4583
0.30;0.85;0.4594
0.30;0.90;0.4447
0.30;0.95;0.4490
0.30;1.00;0.4460
0.35;0.00;0.4830
0.35;0.05;0.5090
0.35;0.10;0.5334
0.35;0.15;0.5223
0.35;0.20;0.5285
0.35;0.25;0.5305
0.35;0.30;0.5332
0.35;0.35;0.5086
0.35;0.40;0.5105
0.35;0.45;0.5132
0.35;0.50;0.4993
0.35;0.55;0.5105
0.35;0.60;0.5121
0.35;0.65;0.5040
0.35;0.70;0.5045
0.35;0.75;0.5030
0.35;0.80;0.4749
0.35;0.85;0.4788
0.35;0.90;0.4788
0.35;0.95;0.4799
0.35;1.00;0.4757
0.40;0.00;0.5033
0.40;0.05;0.5425
0.40;0.10;0.5447
0.40;0.15;0.5503
0.40;0.20;0.5562
0.40;0.25;0.5534
0.40;0.30;0.5582
0.40;0.35;0.5456
0.40;0.40;0.5387
0.40;0.45;0.5608
0.40;0.50;0.5193
0.40;0.55;0.5327
0.40;0.60;0.5369
0.40;0.65;0.5092
0.40;0.70;0.5261
0.40;0.75;0.5163
0.40;0.80;0.5147
0.40;0.85;0.5022
0.40;0.90;0.4925
0.40;0.95;0.5165
0.40;1.00;0.4992
0.45;0.00;0.5171
0.45;0.05;0.5461
0.45;0.10;0.5631
0.45;0.15;0.5636
0.45;0.20;0.5761
0.45;0.25;0.5761
0.45;0.30;0.5741
0.45;0.35;0.5809
0.45;0.40;0.5661
0.45;0.45;0.5662
0.45;0.50;0.5589
0.45;0.55;0.5617
0.45;0.60;0.5547
0.45;0.65;0.5497
0.45;0.70;0.5380
0.45;0.75;0.5327
0.45;0.80;0.5489
0.45;0.85;0.5311
0.45;0.90;0.5328
0.45;0.95;0.5325
0.45;1.00;0.5308
0.50;0.00;0.5273
0.50;0.05;0.5659
0.50;0.10;0.5926
0.50;0.15;0.5906
0.50;0.20;0.5919
0.50;0.25;0.6021
0.50;0.30;0.6000
0.50;0.35;0.5872
0.50;0.40;0.5913
0.50;0.45;0.5859
0.50;0.50;0.5769
0.50;0.55;0.5806
0.50;0.60;0.5769
0.50;0.65;0.5817
0.50;0.70;0.5686
0.50;0.75;0.5681
0.50;0.80;0.5582
0.50;0.85;0.5619
0.50;0.90;0.5423
0.50;0.95;0.5523
0.50;1.00;0.5355
0.55;0.00;0.5166
0.55;0.05;0.5782
0.55;0.10;0.6030
0.55;0.15;0.6057
0.55;0.20;0.6183
0.55;0.25;0.6261
0.55;0.30;0.6040
0.55;0.35;0.6063
0.55;0.40;0.5971
0.55;0.45;0.5873
0.55;0.50;0.6002
0.55;0.55;0.5913
0.55;0.60;0.5930
0.55;0.65;0.5939
0.55;0.70;0.5793
0.55;0.75;0.5797
0.55;0.80;0.5801
0.55;0.85;0.5757
0.55;0.90;0.5792
0.55;0.95;0.5661
0.55;1.00;0.5824
0.60;0.00;0.5078
0.60;0.05;0.5672
0.60;0.10;0.6122
0.60;0.15;0.6366
0.60;0.20;0.6265
0.60;0.25;0.6273
0.60;0.30;0.6257
0.60;0.35;0.6366
0.60;0.40;0.6270
0.60;0.45;0.6178
0.60;0.50;0.6155
0.60;0.55;0.6138
0.60;0.60;0.6107
0.60;0.65;0.6087
0.60;0.70;0.5937
0.60;0.75;0.5950
0.60;0.80;0.6022
0.60;0.85;0.5952
0.60;0.90;0.5860
0.60;0.95;0.5884
0.60;1.00;0.5866
0.65;0.00;0.5188
0.65;0.05;0.5756
0.65;0.10;0.6225
0.65;0.15;0.6155
0.65;0.20;0.6340
0.65;0.25;0.6389
0.65;0.30;0.6459
0.65;0.35;0.6354
0.65;0.40;0.6462
0.65;0.45;0.6391
0.65;0.50;0.6250
0.65;0.55;0.6114
0.65;0.60;0.6301
0.65;0.65;0.6348
0.65;0.70;0.6363
0.65;0.75;0.6105
0.65;0.80;0.6107
0.65;0.85;0.6096
0.65;0.90;0.6090
0.65;0.95;0.6247
0.65;1.00;0.5959
0.70;0.00;0.5078
0.70;0.05;0.5886
0.70;0.10;0.6249
0.70;0.15;0.6238
0.70;0.20;0.6445
0.70;0.25;0.6575
0.70;0.30;0.6450
0.70;0.35;0.6527
0.70;0.40;0.6543
0.70;0.45;0.6502
0.70;0.50;0.6490
0.70;0.55;0.6377
0.70;0.60;0.6582
0.70;0.65;0.6230
0.70;0.70;0.6319
0.70;0.75;0.6349
0.70;0.80;0.6280
0.70;0.85;0.6117
0.70;0.90;0.5972
0.70;0.95;0.6077
0.70;1.00;0.5934
0.75;0.00;0.4917
0.75;0.05;0.6031
0.75;0.10;0.6249
0.75;0.15;0.6327
0.75;0.20;0.6487
0.75;0.25;0.6382
0.75;0.30;0.6489
0.75;0.35;0.6634
0.75;0.40;0.6452
0.75;0.45;0.6474
0.75;0.50;0.6469
0.75;0.55;0.6555
0.75;0.60;0.6454
0.75;0.65;0.6497
0.75;0.70;0.6385
0.75;0.75;0.6183
0.75;0.80;0.6372
0.75;0.85;0.6184
0.75;0.90;0.6014
0.75;0.95;0.6089
0.75;1.00;0.6105
0.80;0.00;0.5028
0.80;0.05;0.5957
0.80;0.10;0.6208
0.80;0.15;0.6509
0.80;0.20;0.6535
0.80;0.25;0.6567
0.80;0.30;0.6492
0.80;0.35;0.6685
0.80;0.40;0.6588
0.80;0.45;0.6529
0.80;0.50;0.6457
0.80;0.55;0.6422
0.80;0.60;0.6384
0.80;0.65;0.6490
0.80;0.70;0.6384
0.80;0.75;0.6451
0.80;0.80;0.6362
0.80;0.85;0.6229
0.80;0.90;0.6237
0.80;0.95;0.6343
0.80;1.00;0.6028
0.85;0.00;0.4970
0.85;0.05;0.5889
0.85;0.10;0.6403
0.85;0.15;0.6352
0.85;0.20;0.6585
0.85;0.25;0.6605
0.85;0.30;0.6458
0.85;0.35;0.6612
0.85;0.40;0.6581
0.85;0.45;0.6548
0.85;0.50;0.6461
0.85;0.55;0.6440
0.85;0.60;0.6553
0.85;0.65;0.6489
0.85;0.70;0.6474
0.85;0.75;0.6372
0.85;0.80;0.6445
0.85;0.85;0.6417
0.85;0.90;0.6336
0.85;0.95;0.6150
0.85;1.00;0.6113
0.90;0.00;0.4961
0.90;0.05;0.5913
0.90;0.10;0.6283
0.90;0.15;0.6498
0.90;0.20;0.6601
0.90;0.25;0.6573
0.90;0.30;0.6608
0.90;0.35;0.6529
0.90;0.40;0.6553
0.90;0.45;0.6588
0.90;0.50;0.6520
0.90;0.55;0.6548
0.90;0.60;0.6478
0.90;0.65;0.6373
0.90;0.70;0.6402
0.90;0.75;0.6296
0.90;0.80;0.6350
0.90;0.85;0.6189
0.90;0.90;0.6272
0.90;0.95;0.6169
0.90;1.00;0.6243
0.95;0.00;0.4877
0.95;0.05;0.6008
0.95;0.10;0.6388
0.95;0.15;0.6473
0.95;0.20;0.6603
0.95;0.25;0.6673
0.95;0.30;0.6688
0.95;0.35;0.6487
0.95;0.40;0.6586
0.95;0.45;0.6540
0.95;0.50;0.6532
0.95;0.55;0.6509
0.95;0.60;0.6500
0.95;0.65;0.6509
0.95;0.70;0.6396
0.95;0.75;0.6308
0.95;0.80;0.6336
0.95;0.85;0.6122
0.95;0.90;0.6246
0.95;0.95;0.6140
0.95;1.00;0.6083
1.00;0.00;0.4910
1.00;0.05;0.6023
1.00;0.10;0.6415
1.00;0.15;0.6519
1.00;0.20;0.6586
1.00;0.25;0.6736
1.00;0.30;0.6640
1.00;0.35;0.6475
1.00;0.40;0.6615
1.00;0.45;0.6531
1.00;0.50;0.6425
1.00;0.55;0.6399
1.00;0.60;0.6555
1.00;0.65;0.6408
1.00;0.70;0.6504
1.00;0.75;0.6292
1.00;0.80;0.6274
1.00;0.85;0.6249
1.00;0.90;0.6218
1.00;0.95;0.6158
1.00;1.00;0.6158
